day,time,session,view,term_view,ad_click,subid1,subid2,subid3,subid4,campaign,country,keyword,useragent
2023-12-07,17:25:55,5c3b298c70,1,0,0,,,,,705741_Veneers Teeth / DE / Ruslan / RU,,,
2023-12-07,17:07:09,773e8f8f04,1,0,0,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,702df0b9-de9a-4caf-8c54-ce20c61bf827,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.2.0 JsSdk/2.0 NetType/4G Channel/App Store ByteLocale/en Region/BE isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebvi"
2023-12-07,17:07:28,773e8f8f04,0,1,0,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,702df0b9-de9a-4caf-8c54-ce20c61bf827,888600_Find Jobs - BE - [int] - Viktor,BE,It Traineeship Zonder Diploma,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.2.0 JsSdk/2.0 NetType/4G Channel/App Store ByteLocale/en Region/BE isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebvi"
2023-12-07,17:07:34,773e8f8f04,0,0,1,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,702df0b9-de9a-4caf-8c54-ce20c61bf827,888600_Find Jobs - BE - [int] - Viktor,BE,It Traineeship Zonder Diploma,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.2.0 JsSdk/2.0 NetType/4G Channel/App Store ByteLocale/en Region/BE isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWebvi"
2023-12-07,17:12:44,283e5c96a3,1,0,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,ffcf2703-91ab-4eda-8b7f-5cf3c6f95ab0,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/es Region/BE isDarkMode/0 WKWebView/1 RevealType/Dialog BytedanceWeb"
2023-12-07,17:20:12,8eb9899f85,1,0,0,888600_Find%20Jobs%20-%20BE%20-%20%5Btur%5D,%20Find%20Jobs%20-%20BE%20-%20%5Btur%5D%20,1784536155190322|1784536155179026|1784536155179010,850d0261-93fe-44a4-a408-58dc08a816e1,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 musical_ly_32.3.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/tr Region/BE RevealType/Dialog isDarkMode/0 WKWebView/1 BytedanceWeb"
2023-12-07,17:20:48,ecbf5fa0de,1,0,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,04a96fe4-67f0-4199-be03-4dd73ee4f551,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 12; SM-A217M Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.163 Mobile Safari/537.36 trill_2022805040 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app_vers"
2023-12-07,17:20:53,ecbf5fa0de,0,1,0,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,04a96fe4-67f0-4199-be03-4dd73ee4f551,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (Linux; Android 12; SM-A217M Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.163 Mobile Safari/537.36 trill_2022805040 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app_vers"
2023-12-07,17:21:08,ecbf5fa0de,0,0,1,888600_Find Jobs - BE - [sp],Find Jobs - BE - [sp] ,1784535672750130|1784535672722482|1784535672722466,04a96fe4-67f0-4199-be03-4dd73ee4f551,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (Linux; Android 12; SM-A217M Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.163 Mobile Safari/537.36 trill_2022805040 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app_vers"
2023-12-07,17:24:11,630fd75e2e,1,0,0,888600_Find Jobs - BE - [tur], Find Jobs - BE - [tur] ,1784536155190322|1784536155179026|1784536155179010,814e4065-e223-497e-9a17-b7b8b995b9ff,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 12; SM-A125F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WİFİ Channel/googleplay AppName/musical_ly app_v"
2023-12-07,17:29:19,58db93c8f7,1,0,0,888600_Find Jobs - BE - [fa],Find Jobs - BE - [fa] ,1784629665816609|1784629662422017|1784629662421041,acb42636-ddcb-4067-a8fa-1fdec3ebfc6a,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 9; POT-LX1A Build/HUAWEIPOT-L41B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.194 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_ver"
