day,time,session,view,term_view,ad_click,subid1,subid2,subid3,subid4,campaign,country,keyword,useragent
2023-12-07,19:27:10,5c3a7863c6,1,0,0,__CAMPAIGN_NAME__,__AID_NAME__,__C|__AID__|__CAMPAIGN_ID__,0b9c9405-8c1f-439e-a2fc-128aaf0d5645,755524_Truck Driver Jobs / DE / AlexIv / [int],DE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19F77"
2023-12-07,19:27:26,bd51838a65,1,0,0,__CAMPAIGN_NAME__,__AID_NAME__,__C|__AID__|__CAMPAIGN_ID__,7e955766-601b-4d0f-a0d4-c25b309e5207,755524_Truck Driver Jobs / DE / AlexIv / [int],DE,,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19F77"
2023-12-07,19:06:57,46483364c9,1,0,0,888600_Find Jobs - BE - [tur], Find Jobs - BE - [tur] ,1784536155190322|1784536155179026|1784536155179010,66daeef5-2b74-4e8c-b553-fa730a69ea44,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 13; SM-A546B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/MOBİLE Channel/googleplay AppName/musical_ly app"
2023-12-07,19:07:22,a3aedb087d,1,0,0,888600_Find Jobs - BE - [tur], Find Jobs - BE - [tur] ,1784536155190322|1784536155179026|1784536155179010,25146d8c-cf9c-4be3-bc98-6c096cca8f5e,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 13; SM-A546B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/MOBİLE Channel/googleplay AppName/musical_ly app"
2023-12-07,19:17:49,5515032687,1,0,0,888600_Find Jobs - BE - [nl],Find Jobs - BE - [nl] ,1784348560984081|1784348560972833|1784348560972817,4bdcff72-feb4-4680-8948-68d86928dc57,888600_Find Jobs - BE - [int] - Viktor,BE,,"Mozilla/5.0 (Linux; Android 12; SM-A035F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 trill_180201 JsSdk/1.0 NetType/WIFI Channel/tt_sea_samsung2020_ota_yz1 AppName/trill app_vers"
2023-12-07,19:17:53,5515032687,0,1,0,888600_Find Jobs - BE - [nl],Find Jobs - BE - [nl] ,1784348560984081|1784348560972833|1784348560972817,4bdcff72-feb4-4680-8948-68d86928dc57,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (Linux; Android 12; SM-A035F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 trill_180201 JsSdk/1.0 NetType/WIFI Channel/tt_sea_samsung2020_ota_yz1 AppName/trill app_vers"
2023-12-07,19:17:57,5515032687,0,0,1,888600_Find Jobs - BE - [nl],Find Jobs - BE - [nl] ,1784348560984081|1784348560972833|1784348560972817,4bdcff72-feb4-4680-8948-68d86928dc57,888600_Find Jobs - BE - [int] - Viktor,BE,Job Vacatures,"Mozilla/5.0 (Linux; Android 12; SM-A035F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 trill_180201 JsSdk/1.0 NetType/WIFI Channel/tt_sea_samsung2020_ota_yz1 AppName/trill app_vers"
2023-12-07,19:01:20,115189a73c,1,0,0,888616_Find Jobs - DE - [ua] ,Find Jobs - DE - [ua],1784534226851874|1784534226847762|1784534226847746,b458d1ad-96c6-4e1c-b98e-b7d4850d108a,888616_Find Jobs - DE - [int] - Viktor,DE,,"Mozilla/5.0 (Linux; Android 13; 23028RN4DG Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app"
2023-12-07,19:01:30,115189a73c,0,1,0,888616_Find Jobs - DE - [ua] ,Find Jobs - DE - [ua],1784534226851874|1784534226847762|1784534226847746,b458d1ad-96c6-4e1c-b98e-b7d4850d108a,888616_Find Jobs - DE - [int] - Viktor,DE,Online Jobs von Zuhause,"Mozilla/5.0 (Linux; Android 13; 23028RN4DG Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app"
2023-12-07,19:01:33,115189a73c,0,0,1,888616_Find Jobs - DE - [ua] ,Find Jobs - DE - [ua],1784534226851874|1784534226847762|1784534226847746,b458d1ad-96c6-4e1c-b98e-b7d4850d108a,888616_Find Jobs - DE - [int] - Viktor,DE,Online Jobs von Zuhause,"Mozilla/5.0 (Linux; Android 13; 23028RN4DG Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app"
2023-12-07,19:01:35,115189a73c,0,0,1,888616_Find Jobs - DE - [ua] ,Find Jobs - DE - [ua],1784534226851874|1784534226847762|1784534226847746,b458d1ad-96c6-4e1c-b98e-b7d4850d108a,888616_Find Jobs - DE - [int] - Viktor,DE,Online Jobs von Zuhause,"Mozilla/5.0 (Linux; Android 13; 23028RN4DG Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app"
