day,time,session,view,term_view,ad_click,subid1,subid2,subid3,subid4,campaign,country,keyword,useragent
2023-12-11,08:01:36,77f2b03c11,1,0,0,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 24.10,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 06.12 | coca,1784532642741266|1784532648788001|1780611931035650,ae974c50-e3e2-459b-a49d-ae592ccc3617,767490_Truck Driver Jobs / ZA / AlexIv / [int],ZA,,"Mozilla/5.0 (Linux; Android 12; V2201 Build/SP1A.210812.003_SC; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023203050 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app"
2023-12-11,08:01:51,77f2b03c11,0,1,0,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 24.10,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 06.12 | coca,1784532642741266|1784532648788001|1780611931035650,ae974c50-e3e2-459b-a49d-ae592ccc3617,767490_Truck Driver Jobs / ZA / AlexIv / [int],ZA,Truck Driver Jobs Uk,"Mozilla/5.0 (Linux; Android 12; V2201 Build/SP1A.210812.003_SC; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023203050 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app"
2023-12-11,08:01:54,77f2b03c11,0,0,1,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 24.10,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 06.12 | coca,1784532642741266|1784532648788001|1780611931035650,ae974c50-e3e2-459b-a49d-ae592ccc3617,767490_Truck Driver Jobs / ZA / AlexIv / [int],ZA,Truck Driver Jobs Uk,"Mozilla/5.0 (Linux; Android 12; V2201 Build/SP1A.210812.003_SC; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023203050 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app"
2023-12-11,08:02:29,2e8c360332,1,0,0,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 24.10,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 06.12 | coca,1784532642741298|1784532648788001|1780611931035650,31c5f6e3-d8b7-469c-a459-9252d29044b0,767490_Truck Driver Jobs / ZA / AlexIv / [int],ZA,,"Mozilla/5.0 (Linux; Android 12; MAO-LX9 Build/HUAWEIMAO-LX9; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.105 Mobile Safari/537.36 Channel/release AppName/ultralite app_version/31.9.4 Region/ZA ByteLocale/en ByteFullLocale/"
2023-12-11,08:02:46,2e8c360332,1,0,0,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 24.10,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 06.12 | coca,1784532642741298|1784532648788001|1780611931035650,76b41ea8-1b95-4744-b5bb-3b8da07d5162,767490_Truck Driver Jobs / ZA / AlexIv / [int],ZA,,"Mozilla/5.0 (Linux; Android 12; MAO-LX9 Build/HUAWEIMAO-LX9; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.105 Mobile Safari/537.36 Channel/release AppName/ultralite app_version/31.9.4 Region/ZA ByteLocale/en ByteFullLocale/"
2023-12-11,08:03:01,2e8c360332,0,1,0,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 24.10,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 06.12 | coca,1784532642741298|1784532648788001|1780611931035650,76b41ea8-1b95-4744-b5bb-3b8da07d5162,767490_Truck Driver Jobs / ZA / AlexIv / [int],ZA,Local Truck Driving Jobs,"Mozilla/5.0 (Linux; Android 12; MAO-LX9 Build/HUAWEIMAO-LX9; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.105 Mobile Safari/537.36 Channel/release AppName/ultralite app_version/31.9.4 Region/ZA ByteLocale/en ByteFullLocale/"
2023-12-11,08:03:05,2e8c360332,0,0,1,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 24.10,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 06.12 | coca,1784532642741298|1784532648788001|1780611931035650,76b41ea8-1b95-4744-b5bb-3b8da07d5162,767490_Truck Driver Jobs / ZA / AlexIv / [int],ZA,Local Truck Driving Jobs,"Mozilla/5.0 (Linux; Android 12; MAO-LX9 Build/HUAWEIMAO-LX9; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.105 Mobile Safari/537.36 Channel/release AppName/ultralite app_version/31.9.4 Region/ZA ByteLocale/en ByteFullLocale/"
2023-12-11,08:17:27,799bbd2747,1,0,0,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 24.10,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 06.12 | coca,1784532642741266|1784532648788001|1780611931035650,794c7e15-14db-4cc7-8fb6-78cf4cc40b3a,767490_Truck Driver Jobs / ZA / AlexIv / [int],ZA,,"Mozilla/5.0 (Linux; Android 12; SM-A315F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_v"
2023-12-11,08:17:46,799bbd2747,0,1,0,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 24.10,Iva1 - Tonic | 767490 - Truck Driver Jobs / ZA / AlexIv / [eng] | 06.12 | coca,1784532642741266|1784532648788001|1780611931035650,794c7e15-14db-4cc7-8fb6-78cf4cc40b3a,767490_Truck Driver Jobs / ZA / AlexIv / [int],ZA,Truck Driving Jobs Near Me,"Mozilla/5.0 (Linux; Android 12; SM-A315F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_v"
2023-12-11,08:00:27,1f3b96ecdb,1,0,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [rom] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [rom] | 11.12 | cave,1784972114563122|1784972102302770|1783335517499394,be6ce506-a96e-492b-adbf-330188946f1d,856848_Cinematography Courses / IT / AlexIv / [int],IT,,"Mozilla/5.0 (Linux; Android 13; SM-G780G Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.66 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app_"
2023-12-11,08:01:45,8ff9f21534,1,0,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 10.12 | cave,1784845777462274|1784845742304306|1783335108248625,9430ec49-f663-4e01-b4e9-55e5310261a4,856848_Cinematography Courses / IT / AlexIv / [int],IT,,"Mozilla/5.0 (Linux; Android 11; CPH1941 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_ve"
2023-12-11,08:01:48,8ff9f21534,0,1,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 10.12 | cave,1784845777462274|1784845742304306|1783335108248625,9430ec49-f663-4e01-b4e9-55e5310261a4,856848_Cinematography Courses / IT / AlexIv / [int],IT,Diventare Attori in Italia,"Mozilla/5.0 (Linux; Android 11; CPH1941 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_ve"
2023-12-11,08:02:48,06dcebd813,1,0,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 11.12 | cave,1784972344342561|1784972316522498|1783335108248625,16dc3bbf-c836-45fe-9e12-7de4dacf72df,856848_Cinematography Courses / IT / AlexIv / [int],IT,,"Mozilla/5.0 (Linux; Android 13; SM-A725F Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023203050 JsSdk/1.0 NetType/MOBILE Channel/samsung_store AppName/musical_ly "
2023-12-11,08:03:03,633e8403eb,1,0,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 11.12 | cave,1784972344342577|1784972316522498|1783335108248625,3a85f428-fea6-463c-95f6-1e631f70e97e,856848_Cinematography Courses / IT / AlexIv / [int],IT,,"Mozilla/5.0 (Linux; Android 13; LGE-NX9 Build/HONORLGE-N49; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_versi"
2023-12-11,08:03:12,633e8403eb,0,1,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 11.12 | cave,1784972344342577|1784972316522498|1783335108248625,3a85f428-fea6-463c-95f6-1e631f70e97e,856848_Cinematography Courses / IT / AlexIv / [int],IT,Provino Per Attore,"Mozilla/5.0 (Linux; Android 13; LGE-NX9 Build/HONORLGE-N49; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_versi"
2023-12-11,08:03:15,633e8403eb,0,0,1,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 11.12 | cave,1784972344342577|1784972316522498|1783335108248625,3a85f428-fea6-463c-95f6-1e631f70e97e,856848_Cinematography Courses / IT / AlexIv / [int],IT,Provino Per Attore,"Mozilla/5.0 (Linux; Android 13; LGE-NX9 Build/HONORLGE-N49; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 musical_ly_2023204030 JsSdk/1.0 NetType/WIFI Channel/googleplay AppName/musical_ly app_versi"
2023-12-11,08:06:39,1fa32ae2f6,1,0,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 11.12 | cave,1784972344342561|1784972316522498|1783335108248625,9c03db8d-15a9-46e3-8bef-72b00605b58c,856848_Cinematography Courses / IT / AlexIv / [int],IT,,"Mozilla/5.0 (Linux; Android 12; 220733SG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.4844.88 Mobile Safari/537.36 musical_ly_2023202040 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app_v"
2023-12-11,08:09:05,45f94ee034,1,0,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 11.12 | cave,1784972344342561|1784972316522498|1783335108248625,a21e60ab-2217-47c7-b4ad-bb6c0aab4a35,856848_Cinematography Courses / IT / AlexIv / [int],IT,,"Mozilla/5.0 (Linux; Android 13; SM-A137F Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.164 Mobile Safari/537.36 trill_2023000030 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app_vers"
2023-12-11,08:09:10,45f94ee034,0,1,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 11.12 | cave,1784972344342561|1784972316522498|1783335108248625,a21e60ab-2217-47c7-b4ad-bb6c0aab4a35,856848_Cinematography Courses / IT / AlexIv / [int],IT,Diventare Attori in Italia,"Mozilla/5.0 (Linux; Android 13; SM-A137F Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.164 Mobile Safari/537.36 trill_2023000030 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app_vers"
2023-12-11,08:09:13,45f94ee034,0,0,1,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 11.12 | cave,1784972344342561|1784972316522498|1783335108248625,a21e60ab-2217-47c7-b4ad-bb6c0aab4a35,856848_Cinematography Courses / IT / AlexIv / [int],IT,Diventare Attori in Italia,"Mozilla/5.0 (Linux; Android 13; SM-A137F Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.164 Mobile Safari/537.36 trill_2023000030 JsSdk/1.0 NetType/MOBILE Channel/googleplay AppName/musical_ly app_vers"
2023-12-11,08:12:56,65d1c0c8f9,1,0,0,Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 23.11,Copy 2 of Iva1 - Tonic | 856848 - Cinematography Courses / IT / AlexIv / [arab] | 11.12 | cave,1784972344342561|1784972316522498|1783335108248625,7cb5863d-c86f-4d42-8b11-0ff01c1aa4da,856848_Cinematography Courses / IT / AlexIv / [int],IT,,"Mozilla/5.0 (Linux; Android 13; 23021RAAEG Build/TKQ1.221114.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 trill_2023104030 JsSdk/1.0 NetType/MOBILE Channel/xiaomiglobal_int AppName/musical_ly app_v"
